Id,Longitude,Latitude,UF,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,ano,nome_municipio
1301951,-68.247917,-6.437799,AM,2.5,2.5,5,112.495495,112.495495,224.99099,4,0.351578,0.359688,0.578859,1,1991,Itamarati
1302009,-58.034546,-2.741843,AM,7.0,7.0,14,288.607457,288.607457,577.214914,3,0.364626,0.377283,35.734457,1,1991,Itapiranga
1302108,-66.996903,-1.880845,AM,7.5,7.5,15,204.7655165,204.7655165,409.531033,3,0.367641,0.381106,57.079678,1,1991,Japurá
1302207,-66.063042,-3.47489,AM,4.5,4.5,9,235.8078485,235.8078485,471.615697,3,0.364064,0.376206,27.586583,1,1991,Juruá
1302306,-66.771328,-2.744646,AM,4.5,4.5,9,211.4897935,211.4897935,422.979587,4,0.353182,0.362138,11.068513,1,1991,Jutaí
1302405,-64.794773,-7.261947,AM,10.5,10.5,21,1188.8048415,1188.8048415,2377.609683,3,0.425956,0.443615,434.375388,1,1991,Lábrea
1302504,-60.620589,-3.298278,AM,24.5,24.5,49,3517.806936,3517.806936,7035.613872,3,0.432896,0.451967,1128.793271,1,1991,Manacapuru
1302553,-60.458881,-3.42908,AM,1.0,1.0,2,163.572328,163.572328,327.144656,4,0.350809,0.358426,0.0,1,1991,Manaquiri
1302603,-60.023335,-3.134691,AM,334.5,334.5,669,55896.561493,55896.561493,111793.122986,3,0.540118,0.574425,122525.339122,1,1991,Manaus
1302702,-61.299248,-5.813205,AM,8.5,8.5,17,989.205728,989.205728,1978.411456,3,0.409261,0.427357,47.506212,0,1991,Manicoré
1302801,-65.574284,-1.866437,AM,5.5,5.5,11,241.4254665,241.4254665,482.850933,3,0.361922,0.373645,47.704843,1,1991,Maraã
1302900,-57.715034,-3.386428,AM,22.5,22.5,45,1947.657465,1947.657465,3895.31493,3,0.445569,0.462621,506.163759,1,1991,Maués
1303007,-56.71677,-2.188984,AM,8.0,8.0,16,552.6181235,552.6181235,1105.236247,3,0.421359,0.438976,80.049609,1,1991,Nhamundá
1303106,-59.093074,-3.887593,AM,8.0,8.0,16,801.7152705,801.7152705,1603.430541,3,0.475484,0.484001,296.433623,1,1991,Nova Olinda do Norte
1303205,-60.948811,-2.623432,AM,4.5,4.5,9,235.1461605,235.1461605,470.292321,3,0.37476,0.389272,11.440741,1,1991,Novo Airão
1303304,-60.377046,-5.122669,AM,4.5,4.5,9,299.017351,299.017351,598.034702,3,0.370096,0.383667,8.785099,1,1991,Novo Aripuanã
1303403,-56.736292,-2.627053,AM,21.5,21.5,43,3334.810993,3334.810993,6669.621986,3,0.440844,0.458463,734.556562,1,1991,Parintins
1303502,-67.002097,-7.714044,AM,5.0,5.0,10,492.662349,492.662349,985.324698,3,0.473779,0.482294,107.437357,0,1991,Pauini
1303536,-60.025647,-2.058429,AM,37.5,37.5,75,2084.7133995,2084.7133995,4169.426799,3,0.479138,0.491054,1550.475904,1,1991,Presidente Figueiredo
1303569,-59.704738,-2.693302,AM,16.0,16.0,32,391.14636,391.14636,782.29272,3,0.474179,0.484224,630.406316,1,1991,Rio Preto da Eva
1303601,-65.020023,-0.416695,AM,2.5,2.5,5,108.1284015,108.1284015,216.256803,3,0.465285,0.475501,2.590499,1,1991,Santa Isabel do Rio Negro
1303700,-67.946485,-3.107486,AM,5.5,5.5,11,377.6482175,377.6482175,755.296435,4,0.351798,0.360431,11.573864,1,1991,Santo Antônio do Içá
1303809,-67.083643,-0.136463,AM,18.5,18.5,37,558.2247975,558.2247975,1116.449595,3,0.484934,0.49239,667.866155,1,1991,São Gabriel da Cachoeira
1303908,-68.944853,-3.46651,AM,4.0,4.0,8,320.096474,320.096474,640.192948,3,0.396433,0.413512,99.047838,1,1991,São Paulo de Olivença
1303957,-57.870346,-2.570153,AM,5.0,5.0,10,230.899449,230.899449,461.798898,4,0.355222,0.364922,12.053527,1,1991,São Sebastião do Uatumã
1304005,-58.214801,-2.836427,AM,5.0,5.0,10,196.5187435,196.5187435,393.037487,3,0.35539,0.365108,13.545717,1,1991,Silves
1304062,-69.946244,-4.231884,AM,20.5,20.5,41,1031.0621545,1031.0621545,2062.124309,3,0.49564,0.500111,2134.900047,1,1991,Tabatinga
1304104,-63.187095,-5.624224,AM,3.0,3.0,6,119.4678375,119.4678375,238.935675,3,0.400642,0.41778,38.305928,1,1991,Tapauá
1304203,-64.70842,-3.348372,AM,18.0,18.0,36,1505.561541,1505.561541,3011.123082,3,0.436092,0.453823,1521.413174,1,1991,Tefé
1304237,-67.776482,-2.861091,AM,1.5,1.5,3,145.2686905,145.2686905,290.537381,4,0.350781,0.358463,0.166667,1,1991,Tonantins
1304260,-65.155346,-2.983609,AM,3.5,3.5,7,151.1066835,151.1066835,302.213367,4,0.354073,0.363159,18.535456,1,1991,Uarini
1304302,-57.759828,-2.536612,AM,7.5,7.5,15,273.1620235,273.1620235,546.324047,3,0.405784,0.423719,185.364986,1,1991,Urucará
1304401,-58.159641,-3.134633,AM,9.0,9.0,18,730.3311345,730.3311345,1460.662269,3,0.381543,0.397847,93.350242,1,1991,Urucurituba
1400050,-61.314022,2.993823,RR,20.0,20.0,40,821.7821575,821.7821575,1643.564315,3,0.393273,0.412509,86.798736,1,1991,Alto Alegre
1400100,-60.670533,2.816682,RR,166.5,166.5,333,16132.01807,16132.01807,32264.03614,3,0.518655,0.536711,12358.463108,1,1991,Boa Vista
1400159,-59.878007,3.350289,RR,17.0,17.0,34,410.265649,410.265649,820.531298,3,0.481863,0.489978,65.698474,1,1991,Bonfim
1400209,-61.149177,1.803871,RR,33.0,33.0,66,758.0919785,758.0919785,1516.183957,3,0.493841,0.500742,1459.752493,1,1991,Caracaraí
1400308,-60.911519,2.479772,RR,41.0,41.0,82,1595.181906,1595.181906,3190.363812,3,0.485878,0.496399,341.609402,1,1991,Mucajaí
1400407,-59.635206,3.882978,RR,6.0,6.0,12,242.1749185,242.1749185,484.349837,3,0.370279,0.384113,10.496402,1,1991,Normandia
1400506,-59.906044,0.947157,RR,35.0,35.0,70,1380.755123,1380.755123,2761.510246,3,0.43344,0.454009,314.258419,1,1991,São João da Baliza
1400605,-60.028267,1.018112,RR,43.5,43.5,87,1184.293859,1184.293859,2368.587718,3,0.493244,0.501893,911.835448,1,1991,São Luiz
1500107,-48.884404,-1.72347,PA,39.0,39.0,78,4554.196209,4554.196209,9108.392418,3,0.486563,0.496585,1281.096844,1,1991,Abaetetuba
1500206,-48.200456,-1.963437,PA,19.5,19.5,39,2238.191879,2238.191879,4476.383758,3,0.394067,0.413289,80.531645,1,1991,Acará
